DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2001-0349-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Hosdurg borough (Kanhangad city, Kasaragod district, Kerala province), Vertak Nagar area (Thane district, Maharashtra province), Bhandup area (Mumbai Suburban district, Maharashtra province)",,,No,No,No,,,Km2,,,,2001,6,,2001,6,,28,4,,,4,,,,,,,58.1114743743821,"[{""adm2_code"":17701,""adm2_name"":""Kasaragod""},{""adm2_code"":17783,""adm2_name"":""Thane""},{""adm2_code"":70183,""adm2_name"":""Mumbai Suburban""}]",2003-07-01,2023-09-25
2001-0375-IRN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Meshkinshahr district (Ardebil province), Siyah Cheshmeh district (West Azarbayejan province)",Heavy rain,,No,No,No,,7440,Km2,,,,2001,7,20,2001,7,21,32,34,1000,,1034,,,,,25000,43021,58.1114743743821,"[{""adm2_code"":41117,""adm2_name"":""Siyah Cheshmeh""},{""adm2_code"":41035,""adm2_name"":""Meshkinshahr""}]",2005-09-20,2023-09-25
2001-0376-PAK,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,PAK,Pakistan,Southern Asia,Asia,"Islamabad district (Islamabad province), Rawalpindi district (Punjab province), North-West Frontier province",Brief torrential rain,"Slide (land, mud, snow, rock)",No,No,No,436,111100,Km2,,,"Siran, Leh rivers",2001,7,22,2001,7,25,210,179,400000,,400179,,,,,246000,423324,58.1114743743821,"[{""adm1_code"":2275,""adm1_name"":""North-West Frontier""},{""adm2_code"":23638,""adm2_name"":""Islamabad District""},{""adm2_code"":23674,""adm2_name"":""Rawalpindi District""}]",2005-09-20,2023-09-25
2001-0387-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Idukki, Kottayam, Pattanamtitta, Kollam, Alappuzha districts (Kerala province)",Monsoonal rain,,No,No,No,,4470,Km2,,,,2001,7,4,2001,7,16,86,,40000,,40000,,,,,116924,201206,58.1114743743821,"[{""adm2_code"":17700,""adm2_name"":""Idukki""},{""adm2_code"":17702,""adm2_name"":""Kottayam""},{""adm2_code"":17706,""adm2_name"":""Pattanamtitta""},{""adm2_code"":17707,""adm2_name"":""Kollam""},{""adm2_code"":70298,""adm2_name"":""Alappuzha""}]",2005-09-20,2023-09-25
2001-0393-BGD,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BGD,Bangladesh,Southern Asia,Asia,"Nilphamari district (Rangpur province), Brahamanbaria district (Chittagong province), Sylhet province",,,No,No,No,,,Km2,,,,2001,6,5,2001,6,5,9,,500000,,500000,,,,,,,58.1114743743821,"[{""adm1_code"":580,""adm1_name"":""Sylhet""},{""adm2_code"":5768,""adm2_name"":""Brahamanbaria""},{""adm2_code"":5814,""adm2_name"":""Nilphamari""}]",2003-07-01,2023-09-25
2001-0453-IRN,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Golestan, Khorasan, Semnan provinces",Brief torrential rain,,No,Yes,No,732,77940,Km2,,,,2001,8,10,2001,8,12,412,200,1200000,,1200200,,,,,78800,135601,58.1114743743821,"[{""adm1_code"":1547,""adm1_name"":""Khorasan""},{""adm1_code"":1558,""adm1_name"":""Semnan""},{""adm1_code"":33111,""adm1_name"":""Golestan""}]",2004-10-29,2023-09-25
2001-0459-BGD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,BGD,Bangladesh,Southern Asia,Asia,"Sunamganj, Sylhet districts (Sylhet province), Nawabganj, Rajshahi districts (Rajshahi province), Kushtia district (Khulna province)",,,No,No,No,,,Km2,,,,2001,8,31,2001,8,31,,,200000,,200000,,,,,,,58.1114743743821,"[{""adm2_code"":5800,""adm2_name"":""Kushtia""},{""adm2_code"":5823,""adm2_name"":""Sunamganj""},{""adm2_code"":5824,""adm2_name"":""Sylhet""},{""adm2_code"":5813,""adm2_name"":""Nawabganj""},{""adm2_code"":5817,""adm2_name"":""Rajshahi""}]",2003-07-01,2023-09-25
2001-0465-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Aurangabad, Bhojpur, Gopalganj, Jehanabad, Muzaffarpur, Nalanda, Pashchim Champaran, Patna, Purba Champaran, Rohtas, Saran, Sitamarhi, Siwan, Vaishali districts (Bihar province)",,,No,No,No,,,Km2,,,,2001,8,,2001,8,,,,400000,,400000,,,,,,,58.1114743743821,"[{""adm2_code"":17594,""adm2_name"":""Aurangabad""},{""adm2_code"":17604,""adm2_name"":""Gopalganj""},{""adm2_code"":17607,""adm2_name"":""Jehanabad""},{""adm2_code"":17613,""adm2_name"":""Muzaffarpur""},{""adm2_code"":17615,""adm2_name"":""Nalanda""},{""adm2_code"":17618,""adm2_name"":""Pashchim Champaran""},{""adm2_code"":17619,""adm2_name"":""Patna""},{""adm2_code"":17620,""adm2_name"":""Purba Champaran""},{""adm2_code"":17623,""adm2_name"":""Rohtas""},{""adm2_code"":17628,""adm2_name"":""Saran""},{""adm2_code"":17630,""adm2_name"":""Sitamarhi""},{""adm2_code"":17631,""adm2_name"":""Siwan""},{""adm2_code"":17632,""adm2_name"":""Vaishali""},{""adm2_code"":70097,""adm2_name"":""Bhojpur""}]",2003-07-01,2023-09-25
2001-0502-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,Delhi province,,,No,No,No,,,Km2,,,,2001,8,,2001,8,,10,36,,,36,,,,,,,58.1114743743821,"[{""adm1_code"":1489,""adm1_name"":""Delhi""}]",2003-07-01,2023-09-25
2001-0515-IND,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IND,India,Southern Asia,Asia,"Gopalganj, Purba Champaran, Pashchim Champaran, Muzaffarpur, Vaishali, Saran districts (Bihar province)",,,No,No,No,,550,Km2,,,,2001,8,20,2001,8,20,158,,7000000,,7000000,,,,,26000,44742,58.1114743743821,"[{""adm2_code"":17604,""adm2_name"":""Gopalganj""},{""adm2_code"":17613,""adm2_name"":""Muzaffarpur""},{""adm2_code"":17618,""adm2_name"":""Pashchim Champaran""},{""adm2_code"":17620,""adm2_name"":""Purba Champaran""},{""adm2_code"":17628,""adm2_name"":""Saran""},{""adm2_code"":17632,""adm2_name"":""Vaishali""}]",2003-07-01,2023-09-25
