Year,Country,ISO,Disaster Type,Disaster Subtype,Location,Total Deaths,No. Injured,No. Homeless,Total Affected
2018,India,IND,Storm,Lightning/Thunderstorms,"Uttar Pradesh, Kerala, Maharashtra, Mizoram, Rajasthan",42.0,,,
2018,India,IND,Storm,Storm (General),"Uttar Pradesh, West Bengal, Assam, Tripura, Manipur, Mizoram",61.0,,,
2018,India,IND,Storm,Lightning/Thunderstorms,"Uttar Pradesh, West Bengal, Tripura",32.0,,21000.0,21000.0
2018,India,IND,Storm,Lightning/Thunderstorms,"Uttar Pradesh, Bihar, Jharkhand",54.0,,,
2018,India,IND,Storm,Tropical cyclone,"Mandasa, Godalpur, Gajapati, Ganjam, Rayagada, Puri, Kandhamal (Andhra Pradesh & Odisha)",85.0,200.0,300000.0,300200.0
2018,India,IND,Storm,Tropical cyclone,"Tamil Nadu, Nagapattinam, Tiruvarur, Thanjavur, Pudukottai, Dindigul and Ramnad, Chennai, Sivaganga, Theni, Madurai districts",45.0,,500000.0,500000.0
2018,India,IND,Storm,Tropical cyclone,"Andhra Pradesh, Odisha",8.0,,10000.0,10000.0
2019,India,IND,Storm,Storm (General),"Gujarat, Rajasthan, Madhya Pradesh, Maharashtra",50.0,,,
2019,India,IND,Storm,Tropical cyclone,Odisha province,50.0,,20000000.0,20000000.0
2019,India,IND,Storm,Lightning/Thunderstorms,"Odisha, Hyderabad",10.0,,,
2019,India,IND,Storm,Lightning/Thunderstorms,"Uttar Pradesh, Maharashtra, and Bihar",50.0,,,
2019,India,IND,Storm,Tropical cyclone,"South Assam, Meghalaya, Tripura, Mizoram, West Begal, Odisha state",12.0,,130000.0,130000.0
2020,India,IND,Storm,Blizzard/Winter storm,Jammu & Kashmir state,11.0,,,
2020,India,IND,Storm,Tropical cyclone,"Balasore (Baleshwar) , Bhadrak, Kendrapada and Jagatsinghpur (Odisha); East Midunapur, West Midhunapur, North24 Parganas, South24 Parganas, Nadia, Howrah, Kolkata and Hoogli (West Bengal)",90.0,,18000000.0,18000000.0
2020,India,IND,Storm,Tropical cyclone,"Raigad, Pune Districts (Maharashtra State)",6.0,,7500.0,7500.0
2020,India,IND,Storm,Tropical cyclone,Tamil Nadu and Puducherry,14.0,,,
2000,India,IND,Flood,Flash flood,"Yingkiang,Tuting villages (Upper Siang (70051) district, Arunachal Pradesh province), Along, Boleng villages (70054 district, Arunachal Pradesh province), Pasighat, Sika-bamin, Komlighat, Raneghat (70041 district, Arunachal Pradesh province), Tezu, Mahadevpur villages (Lohit district, Arunachal Pradesh province), Golaghat, Nagaon districts (Assam province), ",20.0,,3000000.0,3000000.0
2000,India,IND,Flood,Flash flood,"East Siang, 70041, West Siang, 70054, Upper Siang (70051), 70045, 70050, Lower Dibang Valley districts (Arunachal Pradesh province)",130.0,,,
2000,India,IND,Flood,Riverine flood,"Katihar, Sitamarhi districts (Bihar province), Kinnaur district (Himachal Pradesh province), Bankura, Barddhaman, Birbhum, Haora, Hugli, Maldah, Murshidabad, Nadia, North 24 Parganas, West Midnapore districts (West Bengal province), Pithoragarh, Naini Tal districts (Uttarakhand province), Ahmadabad district (Gujarat province), Andhra Pradesh, Assam, Arunachal Pradesh, Madhya Pradesh, Punjab, Uttar Pradesh, Maharashtra, Rajasthan, Chandigarh, Kerala",867.0,,22000000.0,22000000.0
2000,India,IND,Flood,Flash flood,"Adilabad, Cuddapah, East Godavari, Guntur, Hyderabad, Karimnagar, Khammam, Krishna, Kurnool, Mahbubnagar, Medak, Nalgonda, Nellore, Nizamabad, Prakasam, Rangareddi, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",179.0,16.0,,252016.0
2000,India,IND,Flood,Riverine flood,"Birbhum, Bardhaman, Murshidabad, Maldah districts (West Bengal province), Dumka, Sahibganj, Deoghar districts (Jharkhand province), Banka, Bhagalpur, Munger, Sheikhpura districts (Bihar province)",884.0,,24600000.0,24600000.0
2000,India,IND,Flood,Flood (General),North 24 Parganas district (West Bengal province),6.0,,534035.0,534035.0
2001,India,IND,Flood,Riverine flood,"Silchar city (Cachar district, Assam province), Patharkandi village (Karimganj district, Assam province), West Tripura district (Tripura province)",5.0,,700000.0,700000.0
