DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2003-0134-IND,No,nat-met-sto-hai,Natural,Meteorological,Storm,Hail,,,IND,India,Southern Asia,Asia,"Bankura, Hugli, Haora districts (West Bengal province)",,,No,No,No,,0,Kph,,,,2003,3,12,2003,3,12,30,500,294765,190645,485910,,,,,16000,26502,60.3732510662594,"[{""adm2_code"":17945,""adm2_name"":""Bankura""},{""adm2_code"":17949,""adm2_name"":""Haora""},{""adm2_code"":17950,""adm2_name"":""Hugli""}]",2003-10-03,2023-09-25
2003-0182-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Chirakhawa, Chirakhawa Topopara, Peepulbari part 1, Peepulbari part 2, Bhurakata, Baliabeel, Bengerbhita, Baushkata areas (Dhuburi district, Assam province)",,Rain,No,No,No,,100,Kph,,,,2003,4,22,2003,4,22,45,4000,,600,4600,,,,,,,60.3732510662594,"[{""adm2_code"":17579,""adm2_name"":""Dhuburi""}]",2004-03-10,2023-09-25
2003-0190-BGD,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,Dhaka province,,,No,No,No,,100,Kph,,,,2003,4,16,2003,4,16,9,20,,,20,,,,,,,60.3732510662594,"[{""adm1_code"":577,""adm1_name"":""Dhaka""}]",2003-10-07,2023-09-25
2003-0211-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,"Noabadi, Nayabadi, Merashani villages (Brahamanbaria district, Chittagong)",,"Hail|Slide (land, mud, snow, rock)",No,No,No,,120,Kph,,,,2003,5,4,2003,5,4,23,400,,,400,,,,,,,60.3732510662594,"[{""adm2_code"":5768,""adm2_name"":""Brahamanbaria""}]",2004-03-09,2023-09-25
2003-0234-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Mekhliganj, Haldibari, Fukaldabri, Nijtaraf, Kasiabari, Bholarhat, Beltali areas (Kochbihar district, West Bengal province)",,,No,No,No,,0,Kph,,,,2003,4,12,2003,4,12,,60,,400,460,,,,,,,60.3732510662594,"[{""adm2_code"":17952,""adm2_name"":""Kochbihar""}]",2003-10-08,2023-09-25
2003-0605-IND,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,IND,India,Southern Asia,Asia,"Krishna, Guntur, West Godavari districts (Andhra Pradesh province)",,Cold wave|Rain,No,No,No,,100,Kph,,,1214,2003,12,17,2003,12,17,50,,,40000,40000,,,,,28000,46378,60.3732510662594,"[{""adm2_code"":17552,""adm2_name"":""Guntur""},{""adm2_code"":17556,""adm2_name"":""Krishna""},{""adm2_code"":17569,""adm2_name"":""West Godavari""}]",2004-03-02,2023-09-25
2003-0779-BGD,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,,BGD,Bangladesh,Southern Asia,Asia,Barguna district (Barisal province),,,No,No,No,,,Kph,,,,2003,12,20,2003,12,20,28,,,,,,,,,,,60.3732510662594,"[{""adm2_code"":5761,""adm2_name"":""Barguna""}]",2004-03-10,2023-09-25
2004-0084-IRN,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Astara district (Gilan province),,,No,No,No,,,Kph,,,,2004,2,15,2004,2,15,,,2500,,2500,,,,,240,387,61.9895859343217,"[{""adm2_code"":40884,""adm2_name"":""Astara""}]",2004-02-27,2023-09-25
2004-0166-BGD,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,"Mymensingh, Netrakona districts (Dhaka province)",,,No,Yes,No,,120,Kph,,,,2004,4,14,2004,4,15,76,3000,,10000,13000,,,,,,,61.9895859343217,"[{""adm2_code"":5787,""adm2_name"":""Mymensingh""},{""adm2_code"":5790,""adm2_name"":""Netrakona""}]",2004-04-22,2023-09-25
2004-0286-BGD,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,BGD,Bangladesh,Southern Asia,Asia,"Cox's Bazar, Tekhnaf areas (Cox's Bazar district, Chittagong province)",,Surge,No,No,No,,,Kph,,,,2004,6,12,2004,6,13,153,,50,,50,,,,,,,61.9895859343217,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2004-07-01,2023-09-25
2004-0678-BGD,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,,BGD,Bangladesh,Southern Asia,Asia,Sylhet province,,,No,No,No,,,Kph,,,,2004,5,13,2004,5,13,10,50,,4000,4050,,,,,,,61.9895859343217,"[{""adm1_code"":580,""adm1_name"":""Sylhet""}]",2005-03-08,2023-09-25
